"provinsi","kabupaten","kecamatan","kelurahan","no_tps","suara_1","suara_2","suara_3","golput"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","MOJORUNTUT","1","68","26","198","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","MOJORUNTUT","2","27","25","234","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","MOJORUNTUT","3","286","35","74","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","MOJORUNTUT","4","176","184","117","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","MOJORUNTUT","5","402","327","42","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","MOJORUNTUT","6","165","62","306","8"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","GADING","1","327","150","110","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","GADING","2","12","7","277","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","GADING","3","79","127","37","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","GADING","4","125","59","127","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","GADING","5","233","156","170","6"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","GADING","6","221","8","33","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WANGKAL","1","129","510","136","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WANGKAL","2","87","47","71","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WANGKAL","3","409","446","143","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WANGKAL","4","35","174","8","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WANGKAL","5","55","41","222","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WANGKAL","6","213","254","311","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WANGKAL","7","8","324","252","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","JENGGOT","1","27","156","34","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","JENGGOT","2","32","130","488","6"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","JENGGOT","3","70","69","127","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","JENGGOT","4","132","261","53","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","JENGGOT","5","689","48","79","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","JENGGOT","6","347","795","3","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","JENGGOT","7","596","99","11","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WAUNG","1","336","21","86","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WAUNG","2","179","188","25","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WAUNG","3","60","10","69","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WAUNG","4","145","208","702","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WAUNG","5","1715","272","318","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","PLOSO","1","122","337","47","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","PLOSO","2","66","492","5","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","PLOSO","3","29","2","172","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","PLOSO","4","106","7","10","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","PLOSO","5","260","48","2","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","PLOSO","6","242","251","14","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","PLOSO","1","122","337","47","5"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","PLOSO","2","66","492","5","2"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","PLOSO","3","29","2","172","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","PLOSO","4","106","7","10","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","PLOSO","5","260","48","2","4"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","PLOSO","6","242","251","14","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","REJENI","1","101","4","30","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","REJENI","2","78","705","267","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","REJENI","3","27","399","106","6"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","REJENI","4","777","121","18","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","REJENI","5","816","376","13","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","REJENI","6","0","162","4","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KANDANGAN","1","115","166","20","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KANDANGAN","2","66","320","525","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KANDANGAN","3","359","193","290","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KANDANGAN","4","59","136","46","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KREMBUNG","1","313","58","67","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KREMBUNG","2","70","33","252","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KREMBUNG","3","34","135","58","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KREMBUNG","4","73","62","260","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","LEMUJUT","1","120","130","32","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","LEMUJUT","2","312","750","24","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","LEMUJUT","3","10","288","14","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","LEMUJUT","4","792","27","45","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","LEMUJUT","5","8","305","224","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","CANGKRING","1","14","20","42","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","CANGKRING","2","237","95","134","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","CANGKRING","3","152","449","37","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","CANGKRING","4","63","311","131","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KERET","1","19","10","107","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KERET","2","98","222","293","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KERET","3","305","309","7","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KERET","4","46","82","154","0"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KERET","5","115","426","103","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KERET","6","254","260","44","4"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","KERET","7","35","191","57","3"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WONOMLATI","1","177","47","140","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WONOMLATI","2","64","87","138","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WONOMLATI","3","241","425","107","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WONOMLATI","4","16","120","42","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WONOMLATI","5","85","193","87","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WONOMLATI","6","576","939","70","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","WONOMLATI","7","401","368","64","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","BALONGGARUT","1","146","375","2","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","BALONGGARUT","2","229","279","108","5"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","BALONGGARUT","3","258","78","40","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","BALONGGARUT","4","60","348","97","2"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","BALONGGARUT","5","774","37","45","1"
"PROVINSI JAWA TIMUR","SIDOARJO","KREMBUNG","BALONGGARUT","6","409","347","91","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PORONG","1","141","565","57","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PORONG","2","439","103","210","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PORONG","3","26","265","90","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PORONG","4","37","128","11","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","JUWETKENONGO","1","204","217","227","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","JUWETKENONGO","2","71","109","240","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","JUWETKENONGO","3","149","78","74","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","JUWETKENONGO","4","262","42","127","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","MINDI","1","15","69","2","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","MINDI","2","474","137","45","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","MINDI","3","217","516","134","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","MINDI","4","52","263","109","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","MINDI","5","108","660","221","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","MINDI","6","86","118","107","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GEDANG","1","173","415","309","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GEDANG","2","13","3","28","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GEDANG","3","268","9","28","6"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GEDANG","4","189","521","80","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBONAGUNG","1","313","175","125","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBONAGUNG","2","217","76","136","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBONAGUNG","3","222","164","123","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBONAGUNG","4","474","156","231","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBONAGUNG","5","585","315","108","0"
"PROVINSI JAWA TIMUR","SIDOARJO","SUKODONO","KEBONAGUNG","1","313","175","125","1"
"PROVINSI JAWA TIMUR","SIDOARJO","SUKODONO","KEBONAGUNG","2","217","76","136","1"
"PROVINSI JAWA TIMUR","SIDOARJO","SUKODONO","KEBONAGUNG","3","222","164","123","1"
"PROVINSI JAWA TIMUR","SIDOARJO","SUKODONO","KEBONAGUNG","4","474","156","231","4"
"PROVINSI JAWA TIMUR","SIDOARJO","SUKODONO","KEBONAGUNG","5","585","315","108","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGSOLO","1","51","116","203","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGSOLO","2","143","29","80","5"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGSOLO","3","132","328","190","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGSOLO","4","285","86","213","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGSOLO","5","309","211","199","5"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KESAMBI","1","48","504","43","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KESAMBI","2","46","21","76","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KESAMBI","3","251","28","11","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KESAMBI","4","87","64","79","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KESAMBI","5","126","281","243","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBAKALAN","1","97","20","232","6"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBAKALAN","2","4","372","123","8"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBAKALAN","3","8","59","21","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBAKALAN","4","252","365","137","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBAKALAN","5","223","32","86","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBAKALAN","6","229","409","60","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEBAKALAN","7","21","17","16","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","LAJUK","1","156","65","178","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","LAJUK","2","43","0","8","5"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","LAJUK","3","75","310","152","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","LAJUK","4","79","77","350","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGBOTO","1","92","361","13","8"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGBOTO","2","18","355","153","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGBOTO","3","188","131","29","7"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGBOTO","4","207","347","56","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","KEDUNGBOTO","5","250","826","104","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","CANDIPARI","1","14","6","6","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","CANDIPARI","2","269","360","299","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","CANDIPARI","3","165","77","146","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","CANDIPARI","4","250","386","212","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","CANDIPARI","5","33","90","33","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","CANDIPARI","6","126","611","5","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PAMOTAN","1","194","5","248","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PAMOTAN","2","1","153","19","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PAMOTAN","3","117","181","179","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PAMOTAN","4","56","353","52","11"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GLAGAHARUM","1","38","96","110","4"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GLAGAHARUM","2","131","11","15","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GLAGAHARUM","3","194","473","318","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GLAGAHARUM","4","16","100","510","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","GLAGAHARUM","5","100","367","116","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PLUMBON","1","120","74","15","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PLUMBON","2","84","259","13","2"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PLUMBON","3","112","118","94","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PLUMBON","4","192","438","357","6"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PLUMBON","5","74","80","124","3"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PLUMBON","6","846","573","69","6"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","WUNUT","1","127","314","16","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","WUNUT","2","293","1051","202","6"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","WUNUT","3","167","16","329","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","WUNUT","4","8","20","29","0"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PESAWAHAN","1","266","91","148","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PESAWAHAN","2","270","288","50","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PESAWAHAN","3","306","165","23","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PESAWAHAN","4","52","542","7","1"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PESAWAHAN","5","132","97","92","12"
"PROVINSI JAWA TIMUR","SIDOARJO","PORONG","PESAWAHAN","6","153","121","31","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PANGGREH","1","59","521","289","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PANGGREH","2","393","28","20","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PANGGREH","3","42","519","301","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PANGGREH","4","33","25","199","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TROMPOASRI","1","205","115","76","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TROMPOASRI","2","88","163","121","10"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TROMPOASRI","3","305","721","15","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TROMPOASRI","4","201","51","166","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TROMPOASRI","5","263","263","286","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGREJO","1","642","359","130","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGREJO","2","283","1123","137","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGREJO","3","158","355","31","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGREJO","4","360","206","182","5"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGREJO","5","236","113","20","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGREJO","6","222","175","88","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","KEDUNGREJO","1","642","359","130","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","KEDUNGREJO","2","283","1123","137","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","KEDUNGREJO","3","158","355","31","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","KEDUNGREJO","4","360","206","182","5"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","KEDUNGREJO","5","236","113","20","0"
"PROVINSI JAWA TIMUR","SIDOARJO","WARU","KEDUNGREJO","6","222","175","88","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","SEMAMBUNG","1","110","205","57","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","SEMAMBUNG","2","307","10","69","7"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","SEMAMBUNG","3","157","159","89","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","SEMAMBUNG","4","68","169","9","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","SEMAMBUNG","5","696","67","82","2"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","SEMAMBUNG","1","110","205","57","3"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","SEMAMBUNG","2","307","10","69","7"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","SEMAMBUNG","3","157","159","89","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","SEMAMBUNG","4","68","169","9","1"
"PROVINSI JAWA TIMUR","SIDOARJO","WONOAYU","SEMAMBUNG","5","696","67","82","2"
"PROVINSI JAWA TIMUR","SIDOARJO","GEDANGAN","SEMAMBUNG","1","110","205","57","3"
"PROVINSI JAWA TIMUR","SIDOARJO","GEDANGAN","SEMAMBUNG","2","307","10","69","7"
"PROVINSI JAWA TIMUR","SIDOARJO","GEDANGAN","SEMAMBUNG","3","157","159","89","1"
"PROVINSI JAWA TIMUR","SIDOARJO","GEDANGAN","SEMAMBUNG","4","68","169","9","1"
"PROVINSI JAWA TIMUR","SIDOARJO","GEDANGAN","SEMAMBUNG","5","696","67","82","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGPANDAN","1","712","0","83","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGPANDAN","2","18","317","14","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGPANDAN","3","168","17","3","6"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGPANDAN","4","150","101","6","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KUPANG","1","77","25","213","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KUPANG","2","98","270","89","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KUPANG","3","434","390","56","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KUPANG","4","51","163","87","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KUPANG","5","94","229","53","5"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KUPANG","6","48","178","221","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TAMBAKKALISOGO","1","250","132","78","7"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TAMBAKKALISOGO","2","318","35","3","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TAMBAKKALISOGO","3","219","7","2","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TAMBAKKALISOGO","4","84","116","25","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","TAMBAKKALISOGO","5","55","349","12","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BALONGTANI","1","190","14","151","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BALONGTANI","2","74","308","139","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BALONGTANI","3","53","301","41","5"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BALONGTANI","4","69","732","70","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BALONGTANI","5","176","911","40","9"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BALONGTANI","6","274","81","31","6"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","JEMIRAHAN","1","100","565","275","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","JEMIRAHAN","2","92","219","262","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","JEMIRAHAN","3","59","58","102","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","JEMIRAHAN","4","27","508","196","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","JEMIRAHAN","5","6","183","140","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","JEMIRAHAN","6","73","34","213","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","JEMIRAHAN","7","462","246","113","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","DUKUHSARI","1","89","478","51","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","DUKUHSARI","2","250","165","135","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","DUKUHSARI","3","21","394","54","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","DUKUHSARI","4","43","164","158","3"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","DUKUHSARI","5","98","73","123","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","DUKUHSARI","6","490","592","61","5"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","DUKUHSARI","7","18","744","245","5"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGCANGKRING","1","66","67","265","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGCANGKRING","2","53","300","75","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGCANGKRING","3","44","9","33","7"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGCANGKRING","4","126","102","111","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGCANGKRING","5","11","452","66","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGCANGKRING","6","6","95","85","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEDUNGCANGKRING","7","601","124","502","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PEJARAKAN","1","167","220","3","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PEJARAKAN","2","508","40","14","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PEJARAKAN","3","1062","89","35","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PEJARAKAN","4","189","286","135","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PEJARAKAN","5","156","352","205","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PEJARAKAN","6","242","24","30","10"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PEJARAKAN","7","182","420","3","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BESUKI","1","318","19","60","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BESUKI","2","9","445","115","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BESUKI","3","31","136","108","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BESUKI","4","178","426","118","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","BESUKI","5","37","216","413","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEBOGUYANG","1","64","217","117","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEBOGUYANG","2","304","188","59","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEBOGUYANG","3","21","235","50","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEBOGUYANG","4","387","42","7","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","KEBOGUYANG","5","344","138","43","2"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PERMISAN","1","331","112","242","4"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PERMISAN","2","179","112","3","11"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PERMISAN","3","495","3","73","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PERMISAN","4","879","148","163","1"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PERMISAN","5","57","438","54","0"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PERMISAN","6","179","475","167","5"
"PROVINSI JAWA TIMUR","SIDOARJO","JABON","PERMISAN","7","43","110","112","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TANGGULANGIN","KALISAMPURNO","1","302","63","37","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TANGGULANGIN","KALISAMPURNO","2","138","96","89","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TANGGULANGIN","KALISAMPURNO","3","13","81","39","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TANGGULANGIN","KALISAMPURNO","4","142","168","103","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TANGGULANGIN","KALISAMPURNO","5","762","126","12","0"
